0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:44:19 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:44:34 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:44:37 +0530] "GET /StudentManagementSystem/viewStudent.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:44:43 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:45:29 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:45:32 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:45:33 +0530] "GET /StudentManagementSystem/viewStudent.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:45:35 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:45:37 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:45:58 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:47:45 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:48:16 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:49:39 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:49:41 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:49:41 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1147
